date,price
2019-01-12,124.66
2019-01-13,115.4
2019-01-14,128.15
2019-01-15,117.83
2019-01-16,122.2
2019-01-17,121.59
2019-01-18,119.36
2019-01-19,123.8
2019-01-20,117.58
2019-01-21,115.14
2019-01-22,117.51
2019-01-23,116.29
2019-01-24,116.44
2019-01-25,114.98
2019-01-26,115.1
2019-01-27,112.89
2019-01-28,103.51
2019-01-29,104.51
2019-01-30,107.28
2019-01-31,105.81
2019-02-01,106.3
2019-02-02,106.65
2019-02-03,105.02
2019-02-04,106.57
2019-02-05,105.99
2019-02-06,103.15
2019-02-07,103.14
2019-02-08,117.4
2019-02-09,118.31
2019-02-10,117.3
2019-02-11,119.49
2019-02-12,119.61
2019-02-13,120.41
2019-02-14,120.55
2019-02-15,120.51
2019-02-16,122.35
2019-02-17,128.95
2019-02-18,141.27
2019-02-19,143.03
2019-02-20,145.12
2019-02-21,143.44
2019-02-22,146.95
2019-02-23,156.52
2019-02-24,138.97
2019-02-25,135.73
2019-02-26,134.83
2019-02-27,130.89
2019-02-28,135.16
2019-03-01,136.16
2019-03-02,132.52
2019-03-03,130.76
2019-03-04,125.38
2019-03-05,135.07
2019-03-06,136.34
2019-03-07,137.46
2019-03-08,135.51
2019-03-09,135.78
2019-03-10,134.81
2019-03-11,132.03
2019-03-12,132.9
2019-03-13,131.23
2019-03-14,131.31
2019-03-15,135.94
2019-03-16,139.6
2019-03-17,138.95
2019-03-18,137.15
2019-03-19,137.58
2019-03-20,137.76
2019-03-21,135.14
2019-03-22,135.73
2019-03-23,135.78
2019-03-24,134.8
2019-03-25,131.81
2019-03-26,133.14
2019-03-27,137.6
2019-03-28,137.01
2019-03-29,140.52
2019-03-30,141.36
2019-03-31,140.95
2019-04-01,140.69
2019-04-02,159.72
2019-04-03,178.11
2019-04-04,155.74
2019-04-05,163.79
2019-04-06,167.35
2019-04-07,172.98
2019-04-08,181.3
2019-04-09,177.79
2019-04-10,176.22
2019-04-11,164.7
2019-04-12,163.84
2019-04-13,163.03
2019-04-14,164.65
2019-04-15,160.14
2019-04-16,165.69
2019-04-17,166.6
2019-04-18,175.8
2019-04-19,172.61
2019-04-20,172.99
2019-04-21,168.33
2019-04-22,171.81
2019-04-23,172.62
2019-04-24,164.45
2019-04-25,164.99
2019-04-26,151.15
2019-04-27,157.26
2019-04-28,153.74
2019-04-29,151.95
2019-04-30,156.45
2019-05-01,157.7
2019-05-02,159.03
2019-05-03,166.01
2019-05-04,161.39
2019-05-05,162.91
2019-05-06,173.3
2019-05-07,170.45
2019-05-08,168.39
2019-05-09,168.16
2019-05-10,171.62
2019-05-11,171.62
2019-05-12,190.22
2019-05-13,200.91
2019-05-14,204.68
2019-05-15,239.35
2019-05-16,255.19
2019-05-17,233.5
2019-05-18,236.34
2019-05-19,257.42
2019-05-20,254.54
2019-05-21,262.98
2019-05-22,247.81
2019-05-23,244.69
2019-05-24,253.88
2019-05-25,250.34
2019-05-26,264.82
2019-05-27,267.4
2019-05-28,272.2
2019-05-29,269.75
2019-05-30,263.24
2019-05-31,261.56
2019-06-01,265.12
2019-06-02,267.4
2019-06-03,261.26
2019-06-04,239.68
2019-06-05,243.86
2019-06-06,241.2
2019-06-07,247.98
2019-06-08,243.65
2019-06-09,231.75
2019-06-10,244.19
2019-06-11,244.72
2019-06-12,255.64
2019-06-13,258.99
2019-06-14,258.24
2019-06-15,269.54
2019-06-16,266.38
2019-06-17,273.0
2019-06-18,263.84
2019-06-19,267.9
2019-06-20,272.49
2019-06-21,294.0
2019-06-22,305.29
2019-06-23,313.4
2019-06-24,305.9
2019-06-25,308.74
2019-06-26,338.28
2019-06-27,288.28
